publishedDate,description,severity,latitude,longitude,type,count
2024-01-01,DDoS attack detected targeting enterprise network assets.,Critical,35.15921243548266,31.570714943051712,DDoS,4
2024-01-01,Ransomware attack detected targeting enterprise network assets.,Low,52.602898950741576,32.35680375782681,Ransomware,4
2024-01-01,Phishing attack detected targeting enterprise network assets.,High,62.011852172047526,-159.75079493087543,Phishing,2
2024-01-01,Phishing attack detected targeting enterprise network assets.,High,-3.8471475765249536,-66.80667513662658,Phishing,4
2024-01-02,DDoS attack detected targeting enterprise network assets.,Critical,-29.73972574406045,-131.00594094949736,DDoS,3
2024-01-02,Ransomware attack detected targeting enterprise network assets.,Critical,0.6791761222373935,115.1809301556226,Ransomware,4
2024-01-02,Ransomware attack detected targeting enterprise network assets.,Low,62.486228239030865,20.25222971057258,Ransomware,3
2024-01-02,Malware attack detected targeting enterprise network assets.,Medium,-28.66668941661848,58.644326024146636,Malware,2
2024-01-02,Ransomware attack detected targeting enterprise network assets.,Critical,-26.3586023919978,52.007130993274245,Ransomware,3
2024-01-03,Phishing attack detected targeting enterprise network assets.,High,-55.929271980777386,109.53112787039953,Phishing,3
2024-01-03,DDoS attack detected targeting enterprise network assets.,High,59.84365055300519,-131.68239934338575,DDoS,4
2024-01-03,Phishing attack detected targeting enterprise network assets.,Medium,-9.471952340367338,-73.16830983235332,Phishing,2
2024-01-04,DDoS attack detected targeting enterprise network assets.,High,-24.12010633706936,-65.19247817469363,DDoS,2
2024-01-04,Ransomware attack detected targeting enterprise network assets.,Medium,-8.665402637175937,-66.0837840902278,Ransomware,4
2024-01-05,DDoS attack detected targeting enterprise network assets.,High,40.265145069172945,-136.30571144509108,DDoS,4
2024-01-05,DDoS attack detected targeting enterprise network assets.,Critical,21.028756487582527,-54.11263204715226,DDoS,4
2024-01-06,Malware attack detected targeting enterprise network assets.,High,22.88247127617771,123.9080776244245,Malware,0
2024-01-06,Ransomware attack detected targeting enterprise network assets.,High,38.902056320196664,19.608703222238802,Ransomware,2
2024-01-06,Ransomware attack detected targeting enterprise network assets.,High,-4.4196676133885475,-151.86587944188955,Ransomware,0
2024-01-06,DDoS attack detected targeting enterprise network assets.,High,-19.133722460077536,2.742621172704901,DDoS,1
2024-01-06,Ransomware attack detected targeting enterprise network assets.,Medium,38.221648010596326,-86.78458704268081,Ransomware,2
2024-01-07,DDoS attack detected targeting enterprise network assets.,Critical,45.0556493433742,42.689202083335516,DDoS,1
2024-01-07,DDoS attack detected targeting enterprise network assets.,Medium,56.032669803697104,12.589517413008224,DDoS,1
